,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
75,3623844,Tatoo ok! TOKYO♨ONSEN and ROOM【寿】,13018876,Masakatsu,,Edogawa Ku,35.68358,139.85985,Entire home/apt,5213,2,64,2020-02-24,1.07,2,189
78,3744742,(3) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76105,139.716,Entire home/apt,5430,3,203,2020-01-29,3.1,8,270
79,3775528,SHIBUYA12min/Fancy&Warm house,19358663,Mikako,,Setagaya Ku,35.630590000000005,139.63201999999998,Private room,7819,1,83,2020-01-13,1.24,1,210
80,3793206,PRIVATE ROOM  JUST ME ONLY  II 10F with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69847,139.70432,Private room,5973,2,206,2020-01-11,3.08,13,100
81,3793412,PRIVATE ROOM FAMILY OR FRIENDS 10F II,8142772,Min & Haru,,Shinjuku Ku,35.698479999999996,139.70432,Private room,5973,2,71,2020-02-17,1.05,13,208
82,3814258,apartment hotel TASU TOCO,19611972,岩間,,Suginami Ku,35.7034,139.59892,Entire home/apt,8145,3,143,2020-02-12,2.18,3,189
83,3838856,SHINJUKU ★Designer Pencil House★ Whole House,4626879,Sam,,Shibuya Ku,35.68245,139.69009,Entire home/apt,17050,2,169,2020-01-30,2.55,14,211
88,3886601,"""Meiji House""4Room,8Guests,WIFI,2min/HIROO Stn.",10415965,Azabu,,Shibuya Ku,35.64974,139.72214,Entire home/apt,28018,3,129,2020-02-02,1.95,3,221
89,3920124,"Residential area, Peaceful Traditional House 2",20307199,Hotaka,,Higashimurayama Shi,35.765390000000004,139.44681,Entire home/apt,4887,3,131,2020-02-12,2.23,3,238
90,3925416,【Itokiyoshi】Ningyo-cho 1min walk,20336856,Ito,,Chuo Ku,35.68577,139.78368,Entire home/apt,19004,1,110,2018-06-10,1.67,1,338
91,3956263,TINY Home in the Shibuya Ward with Free Wifi,4847803,Best Stay In Tokyo!,,Shibuya Ku,35.67754,139.68062,Entire home/apt,10534,3,83,2020-02-19,1.27,11,307
93,4026948,Near Shinagawa Shibuya Haneda,20878710,Daisuke,,Shinagawa Ku,35.6005,139.73452,Private room,3909,3,127,2019-12-31,1.94,1,156
94,4047596,｢LICENSED｣Enjoy Central Tokyo Yamanote Life,6504053,Bryan,,Shinagawa Ku,35.62707,139.72326999999999,Entire home/apt,24977,1,191,2020-02-23,2.89,3,171
95,4050925,Airport pick-up service&Asakusa traditional house,21004633,Yoshi,,Taito Ku,35.71648,139.79926,Entire home/apt,39964,1,468,2020-02-23,7.11,4,307
96,4141228,#211 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73483,139.63168000000002,Entire home/apt,5430,3,72,2020-02-10,1.22,10,90
99,4255574,S203 30sec Sta.nearSUMO AKB Shinjuku2032,8660693,Soichi,,Koto Ku,35.6903,139.81396999999998,Private room,3149,30,78,2019-08-09,1.19,9,265
100,4312716,【中文･한글OK!】Tokyo/3min Ebisu/Near Shibuya★wifi,14351590,Manami&Mana,,Shibuya Ku,35.64588,139.7126,Entire home/apt,8688,30,181,2019-08-08,3.06,1,92
101,4360718,(2) 5ppl 11mins Shinjuku 17 Shibuya. -JR Jujo Sta,19152993,Sei,,Kita Ku,35.760940000000005,139.71652,Entire home/apt,4235,3,181,2020-02-14,2.83,8,266
107,4471946,Chic 2BR Zen House (5 min to Ueno/10 to Akihabara),23202702,Teruko,,Kita Ku,35.74576,139.75238000000002,Entire home/apt,14986,7,95,2020-02-14,1.56,2,155
109,4478533,FF178 SKY TREE 2min/ASAKUSA 5min/UENO 10min 2Beds,13246788,Norito,,Sumida Ku,35.7229,139.82471999999999,Entire home/apt,49955,1,49,2020-02-24,1.85,1,215
110,4495014,(6) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.761109999999995,139.71576000000002,Entire home/apt,3909,3,198,2020-01-22,3.16,8,270
114,4616579,Furnished Private Apt.213,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73379,139.63183,Entire home/apt,5430,3,72,2020-01-15,1.17,10,75
121,4713042,comfortable  stay (Blue  Sky ) + pocket wifi:),24230913,Yuni,,Arakawa Ku,35.72825,139.77863,Entire home/apt,9448,3,293,2020-02-23,4.65,8,180
122,4714750,Sweet home (5 to 6person :) *☻*+ pocket wifi,24230913,Yuni,,Arakawa Ku,35.72848,139.77692,Entire home/apt,9448,3,61,2020-01-06,1.01,8,294
124,4778071,"Bay studio★Direct Haneda, Odaiba & Big Sight★",24641206,Anri,,Minato Ku,35.65595,139.76152,Entire home/apt,9991,3,192,2020-01-28,3.04,1,123
125,4813245,*NEW*TOKYO HOUSE group&family upto7 & carpark WIFI,9782688,Kevin,,Toshima Ku,35.73055,139.68657,Entire home/apt,16290,2,141,2020-01-24,2.31,5,255
126,4817291,56㎡ Let's go to Asakusa & Akihabara,23595333,Keiko,,Taito Ku,35.72779,139.78991000000002,Entire home/apt,9991,2,264,2020-02-15,4.32,2,162
127,4825779,Japanese Modern Apt / 2 Stops to Shinjuku (#1),24812892,Mao,,Shibuya Ku,35.67719,139.67917,Entire home/apt,49955,1,213,2020-02-24,3.39,2,120
128,4827373,calm room-A Shinjuku.3min train,24026566,Kazu,,Nakano Ku,35.69138,139.67812,Private room,7493,1,195,2020-01-26,3.12,3,305
129,4842239,"Access into center  Tokyo,for economize travelers",24087904,Rinrin,,Bunkyo Ku,35.72848,139.76328,Entire home/apt,5538,1,182,2020-02-08,2.89,6,136
130,4849854,Cozy resort villa TAKAOSAN 高尾山,22134668,Yuki,,Hachioji Shi,35.63714,139.28565,Entire home/apt,12054,2,121,2020-02-13,1.92,2,320
133,4888140,(1) 5ppl 2bank beds 11mins Shinjuku. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.76117,139.71597,Entire home/apt,4452,3,186,2020-01-31,3.04,8,213
135,4917347,Cedar APT  +  Free Pocket Wi-Fi,7740848,K Family,,Katsushika Ku,35.73601,139.85142,Entire home/apt,12054,4,267,2020-02-16,4.3,8,76
136,4925503,SHIBUYA SHINJUKU  Hatagaya Station 5 minutes#103,25370510,Mitsuko,,Shibuya Ku,35.68078,139.67729,Entire home/apt,6516,2,152,2020-01-12,3.23,6,192
137,4925745,New House 100㎡ near metro happy!!!!,23595333,Keiko,,Taito Ku,35.72907,139.79183999999998,Entire home/apt,15964,2,246,2020-02-24,4.32,2,267
138,4926317,#102 SHIBUYA SHINJUKU 幡ヶ谷駅徒歩5分 観光ｼｮｯﾋﾟﾝｸﾞに便利!,25370510,Mitsuko,,Shibuya Ku,35.68127,139.67698000000001,Entire home/apt,4452,2,262,2020-01-05,4.22,6,237
139,4926426,SHIBUYA SHINJUKU 5 minutes walk from  Station,25370510,Mitsuko,,Shibuya Ku,35.67969,139.67656000000002,Entire home/apt,5973,2,224,2019-12-26,3.81,6,280
140,4951604,Traditional Zen Penthouse in Harajuku,25523994,Miwako,,Shibuya Ku,35.669779999999996,139.71101000000002,Entire home/apt,26063,3,106,2020-02-13,1.77,1,331
141,4958750,Convenient charming house,20993205,Seiichi & Keiko,,Edogawa Ku,35.738209999999995,139.88578,Private room,4995,3,100,2020-02-26,1.67,1,120
145,5070495,Private Cozy Apt. 111 in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.73468,139.63121,Entire home/apt,5430,3,71,2019-11-25,1.16,10,90
146,5075815,CraftFlat Ebisu: 8F 1 br Penthouse,25729330,Kiki,,Shibuya Ku,35.6502,139.70746,Entire home/apt,19004,30,72,2020-01-27,1.21,1,240
151,5128293,Shinjuku ShareHouse Dormitory3  with Balcony,8142772,Min & Haru,,Shinjuku Ku,35.69872,139.70276,Shared room,4018,2,135,2020-02-26,2.19,13,253
153,5188591,calm room-B Shinjuku.3min train,24026566,Kazu,,Nakano Ku,35.690870000000004,139.67796,Private room,3909,1,195,2020-01-04,3.2,3,299
155,5210118,Designer's Flat - Shibuya YOYOGI park 10mins #1,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,34860,2,212,2020-02-11,3.55,2,322
156,5217466,#411 Private Cozy Apt. in Tokyo,17736560,ﾀﾂﾛｳ (Taturo),,Nakano Ku,35.735459999999996,139.63173,Entire home/apt,5973,3,84,2020-02-01,1.37,10,83
157,5240174,Designer's Flat - Shibuya YOYOGI park 10mins No.2,24477517,Naoko,,Shibuya Ku,35.66339,139.68741,Entire home/apt,33665,2,173,2020-01-29,2.9,2,315
158,5255533,Hiroo 103 - Family 2 bedroom - Quiet Neighborhood,15330352,Lauren & Tats,,Minato Ku,35.64853,139.7284,Entire home/apt,28018,2,118,2020-02-17,2.48,2,197
161,5273171,ROOM IN CENTRAL TOKYO!!!,24339628,Taichiro,,Shinagawa Ku,35.59691,139.72933,Private room,4995,1,215,2020-01-07,3.54,4,163
165,5319992,"Kokubunji 10min!!Easy to Tokyo,Shinjuku&Kichijoji",21027438,Ai,,Koganei Shi,35.70349,139.48582,Entire home/apt,4452,3,81,2019-12-02,1.34,5,105
166,5322905,"TOKYO!! JAPANESE STUDIO, WIFI,  KOKUBUNJI2",21027438,Ai,,Kokubunji Shi,35.70366,139.48405,Entire home/apt,4452,3,64,2020-01-26,1.05,5,135
167,5322944,"TOKYO!! STUDIO, WIFI, JAPANESE KOKUBUNJI3!!",21027438,Ai,,Kokubunji Shi,35.70471,139.48373999999998,Entire home/apt,6516,7,66,2020-01-31,1.1,5,117
169,5407938,Heart of Shinjuku/Free Pocket Wifi/Homey^^,28035085,Koichi,,Shinjuku Ku,35.69518,139.7098,Entire home/apt,9991,3,280,2020-02-25,4.66,2,195
170,5410242,Steve's International Guest Place,28045851,Steve,,Suginami Ku,35.70055,139.60022,Entire home/apt,7059,4,51,2019-12-14,1.01,1,119
172,5447082,Roppongi/Akasaka Extremely CLEAN!!!,28254151,Radoslaw,,Minato Ku,35.668659999999996,139.73212,Entire home/apt,6516,30,96,2020-02-05,1.6,2,236
173,5464293,Finest Cafe/Bar/Hotel 3F in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,,Suginami Ku,35.70448,139.63776000000001,Entire home/apt,6516,30,134,2020-01-21,2.23,6,344
174,5464305,Finest Cafe/Bar/Hotel 2F in Asagaya TOKYO /w WIFI,28340699,Kimmy And Dee,,Suginami Ku,35.705090000000006,139.63584,Entire home/apt,5973,30,122,2020-01-04,2.04,6,361
175,5464317,IZAKAYA & FOOD HEAVEN SANCHA TOKYO!,28340699,Kimmy And Dee,,Setagaya Ku,35.64428,139.67274,Entire home/apt,5973,30,176,2020-02-07,2.94,6,333
176,5470170,Welcome! culture lovers and artists,27493639,Ayako,,Setagaya Ku,35.63597,139.60721999999998,Private room,4018,1,128,2019-07-15,2.11,1,179
179,5562958,Room in Central Tokyo!,24339628,Taichiro,,Shinagawa Ku,35.59745,139.72746999999998,Private room,4995,1,82,2020-01-07,1.36,4,167
180,5563021,Room in Central Tokyo!!,24339628,Taichiro,,Shinagawa Ku,35.59853,139.72943,Private room,5973,1,75,2019-12-26,1.25,4,175
181,5564391,*SACRED FOREST 神の森* Natural Stylish Healing ♡ Cozy,28837813,InstaHomes,,Nakano Ku,35.73043,139.66592,Private room,3258,1,203,2020-02-24,4.83,3,201
182,5572336,"Cozy shared house near SKYTREE, ASAKUSA, UENO! 205",1517461,Kenji,,Sumida Ku,35.7115,139.83059,Private room,3041,30,75,2020-02-14,1.25,3,229
183,5574930,"Licensed,RH 1stop Ikebukuro 5min Station, 6th Year",22193183,Kyoko,,Toshima Ku,35.72954,139.73031,Entire home/apt,5864,7,179,2019-11-27,2.98,7,170
189,5636340,"Cozy shared house near SKYTREE, ASAKUSA, UENO! 204",1517461,Kenji,,Sumida Ku,35.710809999999995,139.83021000000002,Private room,3475,30,73,2020-02-11,1.21,3,296
192,5655387,BLENDIA Share house : Homestay #1,29311815,Motoki,,Shinagawa Ku,35.62619,139.70798,Shared room,2389,1,209,2019-12-07,3.48,6,291
193,5661072,Shinjuku Hyakunincho 3mins to JR station,21504159,Michi,,Shinjuku Ku,35.70035,139.6967,Entire home/apt,9991,3,115,2020-01-18,1.92,15,145
194,5673677,"A cozy room  Shinjuku, Shibuya and Shimokitazawa!",15282125,Kanako,,Setagaya Ku,35.66441,139.65996,Private room,7493,3,56,2019-12-26,1.01,1,219
196,5719870,東京駅まで13分､新小岩駅徒歩3分のﾘｯﾁ!隣商店街あり､便利!,29410164,JCK Residence,,Katsushika Ku,35.716590000000004,139.85775,Entire home/apt,14986,3,90,2020-01-15,1.5,4,212
198,5730246,"便利,干净,convenient,cheap,center Tokyo",24087904,Rinrin,,Bunkyo Ku,35.72822,139.76346999999998,Entire home/apt,5538,1,190,2019-11-30,3.19,6,228
199,5730491,BLENDIA Share house : Homestay #2,29311815,Motoki,,Shinagawa Ku,35.62578,139.70807,Shared room,2389,1,178,2020-02-08,2.96,6,70
200,5730522,BLENDIA Share house : Homestay #3,29311815,Motoki,,Shinagawa Ku,35.6259,139.70805,Shared room,2389,1,180,2020-01-24,3.0,6,304
201,5738050,Enjoy local life in Tokyo,29758027,Chieko,,Ota Ku,35.571529999999996,139.6929,Entire home/apt,5538,3,126,2020-02-14,2.1,1,81
203,5797894,Hand-built Log House with Fireplace in Okutama,30081521,森のcory,,Okutama Machi,35.81516,139.14324,Entire home/apt,34968,1,157,2020-02-16,2.67,1,162
205,5815506,東京根津ｽﾃﾝﾄﾞｸﾞﾗｽ美術館&ｹﾞｽﾄﾊｳｽ(Since 2008),18289292,武男,,Bunkyo Ku,35.71887,139.76458,Private room,5864,2,30,2020-01-28,3.2,1,223
206,5816022,Ebisu & Hiroo Cozy Room 2,19615511,Panda,,Shibuya Ku,35.64757,139.71993999999998,Entire home/apt,8471,2,148,2020-02-16,2.5,4,84
209,5876019,"Residential area, Peaceful Traditional House 1",20307199,Hotaka,,Higashimurayama Shi,35.76643,139.44513999999998,Private room,3258,2,68,2020-02-08,1.17,3,357
213,5932309,"Japanese cosy vintage house, easy access in Tokyo",30745996,Chie,,Kita Ku,35.74408,139.72525,Entire home/apt,9991,2,206,2020-02-17,3.51,1,63
215,5940498,2F Corner Room w/ Comfortable Double Bed,30840659,Guesthouse,,Katsushika Ku,35.76692,139.86497,Private room,1955,2,91,2020-01-03,1.53,5,63
216,5949669,"#201 Licensed. 7mins Sta,Tatami room. convinient",30883070,Takeshi,,Koto Ku,35.68285,139.81551000000002,Shared room,5213,1,294,2020-02-19,5.16,8,309
217,5959666,Sweet  pink +pocket wifi:),24230913,Yuni,,Arakawa Ku,35.72919,139.77831,Entire home/apt,9448,3,186,2020-01-21,3.17,8,296
222,6065963,★Otsuka Sta 2min/accessible B&B/SAKURAHOUSE#B03★,27335625,Chihiro,,Toshima Ku,35.73062,139.7277,Private room,4995,2,127,2020-02-24,2.16,15,165
223,6065964,★Otsuka Sta 2min/accessible B&B/SAKURAHOUSE#B02★,27335625,Chihiro,,Toshima Ku,35.73196,139.72638999999998,Private room,4778,2,99,2020-02-24,1.69,15,188
224,6079843,25m SHINJUKU/ MUJI with free WiFi,11686184,Yoko,,Kodaira Shi,35.73191,139.4852,Private room,5213,3,135,2020-01-30,2.31,2,204
226,6122133,"NO-1  Mountains,Onsen and Jp-Cuisine in Tokyo!",28596639,Tatsuhiro,,Akiruno Shi,35.72939,139.28372,Private room,4887,1,199,2020-02-25,3.39,5,282
228,6142248,Fully renovated condo Nakameguro,31858645,Masafumi,,Meguro Ku,35.63933,139.70323,Entire home/apt,14009,1,138,2020-01-04,3.84,1,145
229,6149692,Submarine House,4626879,Sam,,Shibuya Ku,35.67538,139.70363,Entire home/apt,20308,2,159,2019-07-31,2.76,14,275
230,6157438,ROPPONGI AKASAKA near Midtown!,10307554,John,,Minato Ku,35.67038,139.73386000000002,Entire home/apt,9774,30,101,2019-10-19,1.87,1,364
231,6164909,Room203 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75788,139.72151000000002,Private room,2281,3,63,2020-01-07,1.07,8,78
233,6172827,13 min to Disneyland/akihabara,29410164,JCK Residence,,Katsushika Ku,35.71484,139.85499,Private room,5756,3,69,2019-11-18,1.18,4,251
236,6206427,Shinjuku!2min walk station!wifi! Luggage 10am!302,1295685,Nick,,Shinjuku Ku,35.69834,139.71153,Entire home/apt,24977,2,246,2019-10-29,4.21,5,183
237,6214018,Room202 Ikebukuro is 5 min by train,24219962,Hiroya,,Kita Ku,35.75786,139.72151000000002,Private room,3475,4,77,2019-08-20,1.34,8,82
238,6229282,The best location as a base of the sightseeing.,22031881,Hideo,,Bunkyo Ku,35.7082,139.76897,Entire home/apt,9448,1,231,2019-11-03,4.14,1,91
239,6264538,★Otsuka Sta 2min/accessible B&B/SAKURAHOUSE#B01★,27335625,Chihiro,,Toshima Ku,35.7319,139.72785,Private room,4778,2,113,2020-02-25,1.95,15,95
241,6305070,(TOKYO)東京の中心!駅から徒歩1分の部屋･渋谷も原宿も浅草も最長25分!,31936413,Mihoko,,Shinagawa Ku,35.61458,139.71498,Private room,4452,1,93,2019-12-30,1.61,1,328
242,6308465,"60㎡,5beds,3mins to Shibuya Sta",32815136,Miko,,Meguro Ku,35.642140000000005,139.69869,Entire home/apt,18027,2,182,2020-02-28,3.59,3,88
245,6374299,5min to Ikebukuro station/ Brown Stone house,30314225,Ryo & Yuri,,Toshima Ku,35.731629999999996,139.73086999999998,Entire home/apt,6950,3,83,2020-01-04,1.44,2,155
246,6380625,Sunny House in a Leafy Street,33088758,Nayu,,Suginami Ku,35.67905,139.64924,Entire home/apt,15964,1,139,2019-11-26,2.42,1,142
248,6436366,Shinjuku!2min walk station!wifi! Luggage 10am!401,1295685,Nick,,Shinjuku Ku,35.696870000000004,139.70886000000002,Entire home/apt,34968,2,261,2020-02-17,4.51,5,206
249,6439108,Green Apart Right In Shimokitazawa 2min walk!!,10705201,D'S Airbnb,,Setagaya Ku,35.6614,139.66823,Entire home/apt,9991,3,196,2020-02-10,3.4,2,301
250,6505073,(4) 11mins Shinjuku. 17mins Shibuya. -JR Jujo Sta.,19152993,Sei,,Kita Ku,35.761109999999995,139.71576000000002,Entire home/apt,4127,3,213,2020-01-22,3.76,8,218
252,6592213,ชอบคนไทยHouse(ห้องแบบญี่ปุ่น),34475322,Masaru,,Machida Shi,35.58739,139.48281,Private room,3475,1,123,2020-02-02,2.18,3,63
256,6635417,Akihabara and YANESEN is near!!!!,32764769,Koichi,,Chiyoda Ku,35.7032,139.76885,Entire home/apt,6842,5,169,2020-01-01,3.33,3,80
257,6646878,near shibuya quiet residential area,34561184,Tanya & Toshiro,,Setagaya Ku,35.65191,139.66968,Private room,6950,1,88,2019-10-04,1.54,5,321
258,6648293,Modern flat studio in Shinagawa Area,5749679,Sayoko,,Shinagawa Ku,35.61334,139.72654,Entire home/apt,7819,2,247,2020-02-26,4.33,2,112
259,6663140,TOTORO HOUSE★TRAIN 2mins!★2xTOILETS★FAST WiFi.,34441930,Tokyo Family,,Arakawa Ku,35.74179,139.78353,Entire home/apt,9991,28,95,2019-09-29,1.77,2,161
260,6670367,Tokyo Skytree Flat (2 Bedroom)for Family or Couple,31651173,Toshi,,Sumida Ku,35.712990000000005,139.81726,Entire home/apt,10643,4,117,2020-01-24,2.08,1,77
261,6719865,Yanesen  Traditional Nagaya house,11025259,Takamitsu,,Taito Ku,35.7205,139.76788,Entire home/apt,24434,3,134,2020-02-08,2.38,1,335
